"Team","season","TOI_all","Skater_TOI_EV","Skater_TOI_PP","Skater_TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","Skater_GAR","Goalie_GAR","GAR","GPW","WAR"
"OTT","20072008",28950.9,18632.6,2610.2,2413.5,47.4,15.9,-0.4,5.3,68.2,11.2,79.3,5.2,15.5
"CAR","20132014",29302.4,20235,2272.2,1506,24.7,4,-1.4,16.6,43.9,36.5,80,5.11,15.4
"WPG","20112012",29233.8,20004.6,2029.2,1837.8,44.5,15,-10.3,4.3,53.5,22.7,76.7,5.09,15.4
"CAR","20142015",29450.2,20566.9,1962.7,1280.6,18.2,10.6,7.1,24,59.9,17.4,77.1,5.09,15.3
"COL","20152016",29123.2,19774.1,2137.9,1674.3,26.9,11.6,-1.2,13.3,50.6,26,76.7,5.1,15.2
"NYI","20092010",28990.5,19033.5,2603.2,1836.1,49.7,6.5,-8.3,11.5,59.4,22,80.7,5.29,15.2
"CBJ","20142015",29249.1,19857.4,2022.3,2030.2,44.5,22.6,-4.4,3.2,65.9,11.7,77.7,5.09,15.1
"BOS","20122013",17154.5,11933.9,1008.6,1088.6,42.3,0.3,4.2,0.4,47.2,28.2,75.7,5.08,14.9
"ANA","20092010",29018.3,19355.7,2390.3,1998.8,20.1,24.1,-8.8,5.3,40.7,36.4,77.1,5.29,14.7
"ATL","20102011",29439.5,20179.5,2261.8,1717.7,37.6,19.9,-12.8,16.5,61.2,14.7,75.8,5.23,14.6
"WPG","20132014",29372.3,20108.9,2111.1,1841.3,38.2,7.3,-4.1,7.5,48.9,25,73.9,5.11,14.6
"DAL","20082009",29120.7,18871.3,2845.2,2088.5,58.5,2.1,4.5,13.3,78.4,0.3,78.9,5.45,14.5
"STL","20072008",28869.3,18662.6,2637.5,2286.2,46.6,6.1,0.8,6.6,60.1,14.3,74.2,5.2,14.5
"STL","20122013",17115.1,11709.4,1209,985.8,43.3,8,4.9,8.9,65.1,8.5,73.4,5.08,14.5
"ANA","20082009",28870.8,18745.6,2405.7,2478.8,36.1,31.9,-4.4,-6.1,57.5,22.3,79.7,5.45,14.4
"BUF","20162017",29307.5,20498.1,1888.2,1584,12.5,27.4,-8.7,11.7,42.9,32.2,74.5,5.21,14.4
"CGY","20152016",29247.5,20199.9,2213.9,1424.5,63.5,7.4,-3.8,17.8,84.9,-10.7,74.5,5.1,14.4
"N.J","20152016",29252.5,19867.8,2065.8,1786.3,16.5,15.4,1.3,9.8,43,28.6,71.9,5.1,14.2
"OTT","20132014",29261.5,19752.1,2151.4,2015.8,32.4,16.7,-0.6,0.1,48.6,23.9,72.3,5.11,14.2
"TOR","20112012",29372.8,20394.3,2138.1,1540.1,42.7,17.8,-3.4,14.2,71.3,0.7,71.5,5.09,14.2
"CHI","20072008",28647.9,17975,2898.5,2409.8,45.6,10.3,4.1,10.8,70.8,1.9,72.9,5.2,14.1
"CHI","20172018",29134,19606.1,2224.2,1513.5,41.2,2.8,-5.2,16.1,54.9,21.5,76.7,5.61,14.1
"FLA","20162017",29344,20075.5,2227.9,1660.9,28.6,7.4,8.7,12.9,57.6,16.6,74.4,5.21,14.1
"NYI","20172018",29320,20414.2,2039,1529.3,46.2,19.2,-3.3,13.1,75.2,2.5,77.1,5.61,14.1
"ATL","20092010",29115.8,19109.7,2639.6,2104.9,42.9,3.6,-4.7,5.7,47.5,25.3,72.8,5.29,13.9
"DET","20152016",29251.8,19912.1,2124.3,1736.8,21.9,11.5,-0.7,10.8,43.5,27.7,71,5.1,13.9
"OTT","20122013",17159.9,11555.2,1239.5,1100.4,27.7,5.1,1.8,3.8,38.4,33.9,71.8,5.08,13.9
"ARI","20152016",29011.2,19288.5,2448.5,2013.9,40,12.3,5.9,9.1,67.3,2.9,69.9,5.1,13.8
"N.J","20142015",29331.5,20259.3,1750.1,1831.2,16.3,13.6,4.8,2.7,37.4,32.2,70.1,5.09,13.8
"CAR","20162017",29413.6,20610.9,1901.3,1332.2,29.3,8.4,6.5,20.4,64.6,5.4,71.4,5.21,13.7
"EDM","20112012",29208.5,19844.5,2104,1963.9,9,23.1,-1.2,2.6,33.5,37.2,70.4,5.09,13.7
"DET","20122013",17191.5,11601.6,1488.5,1032.6,28.4,11.6,0.4,7.3,47.7,21.1,69,5.08,13.5
"ARI","20172018",29384.4,20614,1967.4,1417,27.6,6.7,-1.9,14.5,46.9,28.2,75.1,5.61,13.4
"CAR","20152016",29436.7,20654.7,2011.9,1353.4,22.7,7.7,6.2,19.7,56.3,13.2,69.6,5.1,13.4
"CGY","20172018",29219.1,19937.4,2213.6,1748.2,42.2,2.9,-6.9,9.9,48.1,27.4,75.3,5.61,13.4
"CAR","20092010",28835.6,18950.1,2597.2,2000.7,17.2,9.7,-7.6,13.3,32.6,36.3,68.4,5.29,13.2
"ANA","20122013",17233.3,11897.5,1063.6,1021.5,31,11.8,2.1,1.8,46.7,20.2,67.4,5.08,13
"VAN","20122013",17249.3,11684.5,1385.9,1098.4,30.6,6.7,3.8,6.2,47.3,19.5,66.7,5.08,13
"N.J","20102011",29291.6,20241.7,2006.7,1636.8,51.5,-2.2,8.7,11.1,69.1,-2.6,67.3,5.23,12.9
"TOR","20072008",29054.5,18310.6,2722.9,2175.7,41.1,17.9,-13.6,6.1,51.5,15.8,66.7,5.2,12.8
"NYI","20072008",28995.1,18607,2635.7,2380.8,32,1.3,-7,5.4,31.7,34.8,66.5,5.2,12.6
"ATL","20082009",29024.8,18676.6,2861.6,2262.2,35.7,20.5,-1.4,10,64.8,5.1,69.4,5.45,12.4
"PHI","20162017",29368.9,20077.7,2261.9,1645.4,18.9,14.2,7.7,17.2,58,4.5,62.9,5.21,12.4
"CBJ","20122013",17317.9,11965.7,1310.3,948.8,35,1.1,5.4,4.8,46.3,15.4,61.4,5.08,12.3
"T.B","20072008",29088.2,19392.8,2336.4,1981.1,60.2,17.6,3.2,9.9,90.9,-26.1,64.9,5.2,12.3
"TOR","20142015",29287.9,19866.9,2330.8,1753.8,21.7,4.1,-6.1,13.2,32.9,27.9,61.3,5.09,12.2
"ANA","20112012",29266.1,19882.5,2169.2,1813.3,22.5,10.3,-3.1,9.2,38.9,21,60.1,5.09,12
"WPG","20152016",29161.6,19749,2170.6,1819.8,40.9,2.8,-8.8,6.1,41,22.1,62.7,5.1,12
"CAR","20172018",29385.8,20816.9,1993,1213.1,44.8,7.8,-0.6,21,73,-7.9,64.8,5.61,11.8
"NSH","20122013",17211.9,12026.3,1158.8,884.6,42.9,4,3.2,7.8,57.9,0.3,59.2,5.08,11.8
"ATL","20072008",28949.1,19157.5,2589.3,2215.5,38,4.7,3.8,5.5,52,8.2,60,5.2,11.7
"CBJ","20092010",28895.4,19177.4,2409.1,2029.8,44,14.1,1.5,7.9,67.5,-5.3,62.4,5.29,11.7
"MIN","20122013",17162.4,11636,1225.2,900.8,38.8,9.6,2.8,11.1,62.3,-2.3,60.6,5.08,11.7
"VAN","20172018",29222.6,20237.9,1937.1,1725.2,17.7,17.4,12.3,5.6,53,12.7,66.3,5.61,11.7
"CGY","20132014",29404.8,20520.9,1980,1556.4,37.4,5.7,0.8,13.1,57,0.4,57.3,5.11,11.6
"T.B","20122013",17085.5,11646.7,1345.6,1006.9,41.8,9.2,-1.9,8.6,57.7,1.4,58.7,5.08,11.6
"NYI","20102011",29348.7,19577.9,2493.9,2007.8,13,12.3,-3.4,7.9,29.8,29.2,59.2,5.23,11.3
"OTT","20102011",29154.8,19842.8,2121.7,1974.2,28.2,11.7,-6,7.2,41.1,16.8,58.2,5.23,11.2
"COL","20082009",28989.8,19262.8,2538.3,1991,43.5,4.2,5.2,10.1,63,-2.4,61.2,5.45,11
"L.A","20072008",29127.5,18788.9,3013.2,1923.7,14.7,18.3,-14.6,21.5,39.9,16.6,56.1,5.2,11
"NYR","20082009",29230.4,18833.3,2723.8,2074.9,0.6,-7.4,-4.2,16.4,5.4,56,61.3,5.45,11
"PHI","20122013",16987.7,11322.6,1400.3,1165.5,25.7,13.5,6,3.6,48.8,6.8,55.6,5.08,10.8
"T.B","20092010",29221.9,18977.9,2595.9,2131.6,25.8,19.2,-3.7,5.8,47.1,11,58.2,5.29,10.7
"ARI","20122013",17269.5,11755.1,1364.5,1051,25.2,0,2.7,7,34.9,19.6,54.5,5.08,10.5
"NYI","20112012",29422.9,20597.5,1994.8,1560.9,6.8,14.7,-4.2,12.9,30.2,23.6,53.5,5.09,10.5
"CBJ","20112012",29228.3,19590.7,2660.5,1693.1,52.2,10.3,3.6,18.3,84.4,-30.5,53.6,5.09,10.4
