Season,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
2017-2018,Florida Panthers,27.8,82,44,30,8,96,0.585,248,246,3,3,-0.01,-0.04,6.02,188,193,47,249,18.88,45,227,80.18,10,5,10.8,11.5,2822,8.7,2838,0.914,100
2017-2018,Colorado Avalanche,26.4,82,43,30,9,95,0.579,257,237,2,1,0.28,0.04,6.02,183,178,65,296,21.96,45,269,83.27,7,13,8.6,9.4,2432,10.5,2731,0.914,101.3
2017-2018,St. Louis Blues,28.5,82,44,32,6,94,0.573,226,222,3,0,0.1,0.05,5.46,180,166,38,246,15.45,47,231,79.65,5,9,7.5,7.9,2677,8.3,2438,0.909,100
2017-2018,Dallas Stars,28.5,82,42,32,8,92,0.561,235,225,4,3,0.17,0.04,5.61,177,158,47,244,19.26,54,281,80.78,7,10,9.9,9.4,2560,9,2447,0.909,100.3
2017-2018,Calgary Flames,28.4,82,37,35,10,84,0.512,218,248,2,5,-0.33,0.03,5.68,166,187,43,269,15.99,49,269,81.78,7,7,10.9,11,2759,7.8,2554,0.905,98.9
2017-2018,Carolina Hurricanes,27,82,36,35,11,83,0.506,228,256,3,3,-0.35,-0.01,5.9,178,204,44,239,18.41,43,191,77.49,3,6,6.1,6.8,2780,8.1,2367,0.893,98.2
2017-2018,New York Islanders,28.4,82,35,37,10,80,0.488,264,296,3,3,-0.4,-0.01,6.83,198,219,58,250,23.2,63,235,73.19,5,11,7.6,7.8,2572,10.1,2918,0.9,100.4
2017-2018,Edmonton Oilers,26.8,82,36,40,6,78,0.476,234,263,5,1,-0.32,0.03,6.06,187,200,31,210,14.76,57,245,76.73,11,5,9,7.3,2740,8.4,2634,0.901,99.4
2017-2018,New York Rangers,28.7,82,34,39,9,77,0.47,231,268,3,5,-0.46,-0.01,6.09,172,212,51,241,21.16,46,247,81.38,5,5,7.7,7.9,2538,9,2898,0.909,99.8
2017-2018,Chicago Blackhawks,28,82,33,39,10,76,0.463,229,256,1,2,-0.26,0.07,5.91,180,198,43,269,15.99,49,236,79.24,5,7,7.3,8.6,2793,8.2,2697,0.906,99.1
2017-2018,Vancouver Canucks,28.2,82,31,40,11,73,0.445,218,264,0,5,-0.51,0.05,5.88,158,189,53,247,21.46,60,276,78.26,7,10,8.4,7.9,2464,8.8,2641,0.902,99.4
2017-2018,Detroit Red Wings,30.2,82,30,39,13,73,0.445,217,255,5,1,-0.48,-0.01,5.76,162,191,41,234,17.52,58,259,77.61,9,5,8.7,8.1,2490,8.5,2613,0.903,99.5
2017-2018,Montreal Canadiens,27.8,82,29,40,13,71,0.433,209,264,2,6,-0.68,0,5.77,148,184,52,244,21.31,68,263,74.14,7,6,8.4,8.5,2687,7.7,2650,0.903,98.7
2017-2018,Arizona Coyotes,26.5,82,29,41,12,70,0.427,208,256,2,5,-0.53,0.05,5.66,163,195,41,243,16.87,46,224,79.46,2,10,7.7,8.1,2450,8.4,2642,0.905,99.5
2017-2018,Ottawa Senators,29.3,82,28,43,11,67,0.409,221,291,2,7,-0.85,0,6.24,174,222,41,248,16.53,56,235,76.17,4,6,7.7,8.3,2515,8.7,2712,0.895,98.8
2017-2018,Buffalo Sabres,27.1,82,25,45,12,62,0.378,199,280,1,2,-0.98,0.01,5.84,140,216,49,257,19.07,52,235,77.87,9,10,8,8.5,2557,7.7,2681,0.896,98
2016-2017,Washington Capitals,28.4,82,55,19,8,118,0.72,263,182,2,5,0.99,0,5.43,199,130,57,248,22.98,44,272,83.82,5,3,9,8.5,2495,10.5,2282,0.922,102.5
2016-2017,Pittsburgh Penguins,28.7,82,50,21,11,111,0.677,282,234,4,5,0.59,0.01,6.29,213,170,60,260,23.08,52,257,79.77,5,7,8.4,8.7,2745,10.1,2671,0.914,101
2016-2017,Chicago Blackhawks,29.4,82,50,23,9,109,0.665,244,213,4,1,0.32,-0.06,5.57,197,158,42,233,18.03,47,211,77.73,1,7,6.9,7.8,2508,9.6,2574,0.918,101.3
2016-2017,Columbus Blue Jackets,26.2,82,50,24,8,108,0.659,249,195,2,2,0.68,0.02,5.41,195,152,42,211,19.91,39,223,82.51,10,2,8.6,8.5,2540,9.7,2489,0.922,101.2
2016-2017,Minnesota Wild,28.3,82,49,25,8,106,0.646,266,208,3,2,0.63,-0.08,5.78,211,166,47,224,20.98,37,217,82.95,5,3,8,8.3,2527,10.4,2465,0.916,101.5
2016-2017,Anaheim Ducks,27.6,82,46,23,13,105,0.64,223,200,3,3,0.24,-0.04,5.16,164,147,47,251,18.73,43,281,84.7,9,7,11.3,11,2425,9.1,2429,0.919,100.7
2016-2017,Montreal Canadiens,28.8,82,47,26,9,103,0.628,226,200,3,2,0.31,-0.01,5.2,173,145,45,230,19.57,47,249,81.12,5,6,9.1,7.7,2459,9.1,2429,0.918,100.7
2016-2017,Edmonton Oilers,26.7,82,47,26,9,103,0.628,247,212,4,5,0.37,-0.06,5.6,183,159,56,245,22.86,43,223,80.72,4,5,8.8,9.1,2547,9.5,2416,0.914,100.9
2016-2017,New York Rangers,28.3,82,48,28,6,102,0.622,256,220,3,4,0.47,0.03,5.8,197,166,47,232,20.26,45,224,79.91,9,5,7.1,8.1,2438,10.4,2465,0.912,101
2016-2017,St. Louis Blues,28,82,46,29,7,99,0.604,235,218,2,2,0.17,-0.04,5.52,180,171,50,235,21.28,40,263,84.79,3,5,8.6,8.2,2330,10,2327,0.907,100.7
2016-2017,San Jose Sharks,29.6,82,46,29,7,99,0.604,221,201,2,1,0.21,-0.03,5.15,171,153,41,246,16.67,41,212,80.66,7,6,7.6,8.2,2453,8.9,2269,0.912,100.3
2016-2017,Ottawa Senators,28.8,82,44,28,10,98,0.598,212,214,6,4,-0.01,0.01,5.2,156,157,43,254,16.93,50,247,79.76,7,3,10,10.1,2463,8.4,2467,0.915,99.7
2016-2017,Toronto Maple Leafs,26.2,82,40,27,15,95,0.579,251,242,1,8,0.11,0,6.01,186,183,57,244,23.36,44,251,82.47,6,7,9.5,9.9,2617,9.6,2673,0.912,100.5
2016-2017,Boston Bruins,28.8,82,44,31,7,95,0.579,234,212,2,3,0.27,0,5.44,169,165,53,244,21.72,38,266,85.71,10,6,10,9.7,2721,8.5,2194,0.905,98.4
2016-2017,Tampa Bay Lightning,26.8,82,42,30,10,94,0.573,234,227,4,3,0.09,0.01,5.62,164,168,62,272,22.79,48,258,81.4,4,8,10.5,11.2,2452,9.4,2492,0.91,99.8
2016-2017,New York Islanders,28.4,82,41,29,12,94,0.573,241,242,2,4,0.03,0.05,5.89,199,190,35,234,14.96,40,227,82.38,5,7,7.8,7.7,2480,9.6,2616,0.909,100.6
2016-2017,Nashville Predators,27.9,82,41,29,12,94,0.573,240,224,2,4,0.16,-0.04,5.66,177,168,49,259,18.92,46,241,80.91,12,6,10,10.4,2557,9.3,2472,0.911,100.4
2016-2017,Calgary Flames,28.3,82,45,33,4,94,0.573,226,221,4,2,0.02,-0.04,5.45,162,163,52,258,20.16,51,277,81.59,8,5,11.5,10.5,2388,9.3,2354,0.907,99.7
